Year,Month,Airport,Total Passengers,International Passengers,Domestic Passengers,Calculated_Total,Discrepancy
2021,January,BIRMINGHAM,33967,28569,5346,33915,0.001530897635940766
2021,January,EDINBURGH,43413,25581,17832,43413,0.0
2021,January,GATWICK,88358,75800,12424,88224,0.0015165576405079336
2021,January,HEATHROW,677356,617621,59735,677356,0.0
2021,January,MANCHESTER,126963,108725,18196,126921,0.00033080503768814534
2021,February,BIRMINGHAM,12082,7141,4941,12082,0.0
2021,February,EDINBURGH,19483,5814,13669,19483,0.0
2021,February,GATWICK,32747,23315,9432,32747,0.0
2021,February,HEATHROW,461188,408988,52200,461188,0.0
2021,February,MANCHESTER,78076,61918,16142,78060,0.0002049285311747528
2021,March,BIRMINGHAM,17885,11260,6625,17885,0.0
2021,March,EDINBURGH,20946,5275,15671,20946,0.0
2021,March,GATWICK,35417,25013,10404,35417,0.0
2021,March,HEATHROW,541703,481783,59886,541669,6.276502068476637e-05
2021,March,MANCHESTER,94577,74467,20104,94571,6.344037133764023e-05
2021,April,BIRMINGHAM,27288,18190,9098,27288,0.0
2021,April,EDINBURGH,32444,7721,24723,32444,0.0
2021,April,GATWICK,48687,33109,15578,48687,0.0
2021,April,HEATHROW,536040,471108,64932,536040,0.0
2021,April,MANCHESTER,80822,63298,17524,80822,0.0
2021,May,BIRMINGHAM,49722,28853,20813,49666,0.001126262016813483
2021,May,EDINBURGH,80572,14117,66455,80572,0.0
2021,May,GATWICK,133481,87146,46319,133465,0.00011986724702392101
2021,May,HEATHROW,675375,567162,108052,675214,0.00023838608180640385
2021,May,MANCHESTER,118770,92239,26531,118770,0.0
2021,June,BIRMINGHAM,94065,58534,35110,93644,0.004475628554722798
2021,June,EDINBURGH,176464,51365,125099,176464,0.0
2021,June,GATWICK,233821,136874,96798,233672,0.0006372395978120015
2021,June,HEATHROW,956862,801908,154773,956681,0.00018915998336228212
2021,June,MANCHESTER,204947,156684,48263,204947,0.0
2021,July,BIRMINGHAM,205113,150613,52932,203545,0.007644566653503191
2021,July,EDINBURGH,269306,98818,170488,269306,0.0
2021,July,GATWICK,494635,347246,147387,494633,4.043385526701507e-06
2021,July,HEATHROW,1510623,1328584,182039,1510623,0.0
2021,July,MANCHESTER,447973,374090,73583,447673,0.0006696832175153414
2021,August,BIRMINGHAM,392166,318991,69578,388569,0.009172136289224461
2021,August,EDINBURGH,380847,175004,205579,380583,0.000693191754168997
2021,August,GATWICK,1023222,828153,194832,1022985,0.00023162129039445986
2021,August,HEATHROW,2232752,2014765,217519,2232284,0.0002096067991429411
2021,August,MANCHESTER,865320,766779,97755,864534,0.0009083344889751768
2021,September,BIRMINGHAM,409568,344246,64795,409041,0.0012867216188764748
2021,September,EDINBURGH,458307,251891,205433,457324,0.0021448505041380557
